IBOV - Carteira do Dia 20/01/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,361;
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,233;
ABEV3;AMBEV S/A;ON;4.359.908.680;3,085;
AMER3;AMERICANAS;ON      NM;397.635.158;0,642;
ASAI3;ASSAI;ON      NM;794.310.097;0,465;
AZUL4;AZUL;PN      N2;327.741.172;0,403;
B3SA3;B3;ON      NM;6.065.856.318;3,619;
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,633;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,164;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,676;
BRML3;BR MALLS PAR;ON      NM;834.170.584;0,354;
BBDC3;BRADESCO;ON      N1;1.378.842.305;1,182;
BBDC4;BRADESCO;PN      N1;4.691.427.537;4,817;
BRAP4;BRADESPAR;PN      N1;251.414.753;0,351;
BBAS3;BRASIL;ON      NM;1.420.530.937;2,144;
BRKM5;BRASKEM;PNA     N1;264.642.296;0,634;
BRFS3;BRF SA;ON      NM;811.759.800;0,937;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,261;
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,301;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,615;
CMIG4;CEMIG;PN      N1;1.114.214.662;0,703;
CIEL3;CIELO;ON      NM;1.144.359.228;0,116;
COGN3;COGNA ON;ON      NM;1.828.106.676;0,196;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,494;
CSAN3;COSAN;ON      NM;1.169.237.744;1,250;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,243;
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,398;
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,126;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,202;
DXCO3;DEXCO;ON      NM;295.712.871;0,196;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,120;
ELET3;ELETROBRAS;ON      N1;358.028.908;0,576;
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,383;
EMBR3;EMBRAER;ON      NM;734.558.205;0,736;
ENBR3;ENERGIAS BR;ON      NM;230.931.405;0,243;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,500;
ENEV3;ENEVA;ON      NM;1.261.568.398;0,792;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,488;
EQTL3;EQUATORIAL;ON      NM;1.010.511.085;1,092;
EZTC3;EZTEC;ON      NM;101.618.236;0,093;
FLRY3;FLEURY;ON      NM;303.425.821;0,268;
GGBR4;GERDAU;PN      N1;1.097.534.498;1,551;
GOAU4;GERDAU MET;PN      N1;698.275.321;0,412;
GOLL4;GOL;PN      N2;167.095.214;0,134;
